代码,名称,主营业务收入增长率_2017,主营业务收入增长率_2016,主营业务收入增长率_2015
36,华联控股,82.8829,430.9525,99.2641
38,深大通,46.751999999999995,236.9654,43.2648
40,东旭蓝天,115.4769,126.5375,60.7018
68,华控赛格,38.7704,74.4023,153.9175
413,东旭光电,151.2036,48.4089,116.955
415,渤海金控,48.1368,151.1387,40.9674
564,供销大集,107.3337,128.3594,45.9505
725,京东方A,36.1486,41.6914,32.0711
736,中交地产,176.6736,88.2649,56.9986
971,高升控股,30.3628,323.1068,199.6972
2036,联创电子,70.0945,108.7725,253.7486
2044,美年健康,102.2496,46.6518,201.9334
2092,中泰化学,75.7489,53.0631,36.5596
2131,利欧股份,43.7596,67.4408,52.812
2180,纳思达,267.3082,183.3287,327.3001
2218,拓日新能,32.7011,56.8097,33.3822
2219,恒康医疗,56.2749,84.0712,72.3496
2230,科大讯飞,63.9731,32.7766,40.8734
2236,大华股份,41.3784,32.2615,37.4522
2270,华明装备,74.4717,71.9496,100.5609
2279,久其软件,50.8309,84.2947,119.3837
2280,联络互动,927.7132,77.6008,109.723
2285,世联行,30.9673,33.1037,42.3915
2340,格林美,37.2165,53.1296,30.9121
2354,天神娱乐,85.1721,78.0161,97.8477
2383,合众思壮,95.4829,54.5808,54.5436
2411,必康股份,44.1499,84.0416,90.8379
2434,万里扬,34.7764,89.2004,42.7352
2460,赣锋锂业,54.1231,110.0649,55.7166
2466,天齐锂业,40.0935,109.1496,31.2498
2475,立讯精密,65.8561,35.7326,38.9743
2503,搜于特,190.0385,218.7446,51.8415
2505,大康农业,98.9019,60.9142,561.543
2572,索菲亚,36.0153,41.7501,35.3505
2600,领益智造,32.1426,147.5008,136.3396
2640,跨境通,64.2035,115.5342,370.5056
2654,万润科技,93.7448,87.1461,60.3429
2685,华东重机,133.7089,39.2956,208.0451
2716,金贵银业,43.9293,35.6476,34.7038
2717,岭南股份,86.1101,35.9388,73.5778
2841,视源股份,31.9214,37.3893,39.1487
2889,东方嘉盛,47.5333,56.0815,34.6255
2925,盈趣科技,98.2027,68.1283,52.9684
2928,华夏航空,35.1707,42.3759,39.2143
300007,汉威科技,30.3741,48.3449,87.0037
300042,朗科科技,57.1923,46.2084,91.5192
300053,欧比特,31.9527,44.0102,120.2907
300070,碧水源,54.8228,70.5378,51.1749
300073,当升科技,61.6958,55.1036,37.6681
300097,智云股份,51.6525,42.9928,92.2205
300115,长盈精密,37.7837,57.3609,67.5942
300116,坚瑞沃能,152.8958,557.0305,65.5899
300118,东方日升,63.2059,33.4125,78.1538
300131,英唐智控,75.2671,138.3465,260.9278
300136,信维通信,42.3486,85.61399999999999,60.9436
300178,腾邦国际,175.7014,94.4207,72.9053
300182,捷成股份,33.1801,48.292,79.1653
300184,力源信息,417.2425,56.0924,61.7654
300194,福安药业,61.2012,83.1696,57.8564
300197,铁汉生态,79.0361,75.0013,30.4619
300209,天泽信息,37.4342,145.8023,70.5135
300209,天泽信息,37.4342,145.8023,70.5135
300219,鸿利智汇,63.8212,41.8127,56.4672
300222,科大智能,47.595,102.1229,39.5564
300226,上海钢联,78.53399999999999,93.2796,182.6098
300226,上海钢联,78.53399999999999,93.2796,182.6098
300230,永利股份,68.9518,96.7594,132.5767
300232,洲明科技,73.5753,33.6482,34.2068
300237,美晨生态,31.8076,63.6069,56.9683
300244,迪安诊断,30.8617,105.7916,39.1791
300247,乐金健康,102.9638,39.7665,51.0692
300269,联建光电,40.9818,84.1235,56.9529
300274,阳光电源,48.0107,31.3928,49.2122
300296,利亚德,47.8049,116.4482,71.42
300297,蓝盾股份,40.8624,57.205,90.6871
300310,宜通世纪,41.8196,53.7401,30.072
300316,晶盛机电,78.5529,84.4389,141.2264
300324,旋极信息,50.6386,123.2718,170.4836
300348,长亮科技,35.1629,49.1839,75.0354
300351,永贵电器,32.7835,86.9134,33.083
300365,恒华科技,41.8438,53.9879,72.1094
300366,创意信息,44.5339,79.3884,122.6227
300376,易事特,39.5057,42.4447,87.0099
300383,光环新网,75.92,291.8018,36.126999999999995
300393,中来股份,133.6838,89.0522,54.2421
300422,博世科,77.1533,64.2586,80.0384
300425,环能科技,66.2238,48.0816,40.162
300426,唐德影视,49.7892,46.5972,31.8005
300450,先导智能,101.7548,101.2608,74.8889
300454,深信服,41.2805,32.7041,38.8764
300457,赢合科技,86.5196,132.90200000000002,62.2937
300496,中科创达,37.0827,37.7665,36.1013
300504,天邑股份,31.6687,64.5358,95.3473
300571,平治信息,94.012,178.8421,35.4232
300588,熙菱信息,47.9125,33.7301,39.9061
300595,欧普康视,32.5976,33.354,35.6913
300607,拓斯达,76.5063,43.3012,41.4812
300616,尚品宅配,32.2266,30.3871,61.4721
300628,亿联网络,50.233000000000004,39.5563,35.5375
300642,透景生命,30.997,36.5066,43.3
300648,星云股份,36.1719,60.4772,77.2052
300685,艾德生物,30.5883,43.0294,65.5991
300706,阿石创,34.8574,40.3285,50.5937
300707,威唐工业,37.9057,34.3955,44.4737
300709,精研科技,30.0538,56.1397,115.837
300725,药石科技,45.0545,38.38,77.6257
300740,御家汇,40.6107,52.3167,76.6591
300742,越博动力,37.7268,85.5136,735.6905
300747,锐科激光,82.0135,67.0925,35.071999999999996
300750,宁德时代,34.3967,160.9028,557.9343
600136,当代明诚,60.2577,31.9752,507.5526
600242,中昌数据,62.4555,223.4602,57.5994
600260,凯乐科技,79.7768,160.6931,85.3094
600310,桂东电力,96.539,45.174,69.8059
600419,天润乳业,41.7084,48.6957,80.2577
600487,亨通光电,34.4535,42.3001,30.1714
600657,信达地产,31.5052,42.223,67.7271
600707,彩虹股份,34.2956,43.5395,47.2192
600707,彩虹股份,34.2956,43.5395,47.2192
600711,盛屯矿业,62.608999999999995,90.7839,98.9869
600734,实达集团,52.9521,1263.9931,59.1193
600751,海航科技,739.8559,5115.4748,70.0068
600779,水井坊,74.1266,37.609,134.2946
600856,中天能源,78.6016,83.7041,436.9884
600984,建设机械,32.9747,96.1596,147.6147
600986,科达股份,34.7927,190.6716,116.6828
601012,隆基股份,41.903999999999996,93.8872,61.5967
601238,广汽集团,43.9644,67.9832,31.4726
603008,喜临门,43.7615,31.3895,30.753
603387,基蛋生物,32.3748,33.5251,31.4451
603396,金辰股份,33.1685,46.5696,47.1829
603533,掌阅科技,39.1907,87.226,52.4418
603588,高能环境,47.3352,53.6303,31.1548
603659,璞泰来,34.1043,81.7737,83.2642
603666,亿嘉和,42.7032,37.7844,73.257
603709,中源家居,32.5767,38.9501,37.0017
603713,密尔克卫,37.5311,49.1244,30.7556
